id,tablename,cde,cdename,sqltext,dim_name
1194,caiguangdengji,800,好,,
1195,caiguangdengji,801,差,,
1196,caiguangdengji,802,一般,,
1363,cengleixing,1901,低,,底层
1364,cengleixing,1901,底,,底层
1365,cengleixing,1902,中,,中层
1366,cengleixing,1903,高,,高层
1197,chanquanxingzhi,200,三联单,,其他
1198,chanquanxingzhi,201,私产,,私有
1206,chanquanxingzhi,201,商住两用,,私有
1207,chanquanxingzhi,201,70,,私有
1208,chanquanxingzhi,201,商品房,,私有
1210,chanquanxingzhi,201,个人产权,,私有
1211,chanquanxingzhi,201,70年产权,,私有
1213,chanquanxingzhi,201,已购公房,,私有
1214,chanquanxingzhi,201,空置房,,其它
1199,chanquanxingzhi,202,公产,,全民
1212,chanquanxingzhi,202,单位产权,,集体
1200,chanquanxingzhi,203,房票,,其他
1201,chanquanxingzhi,204,发票,,其他
1202,chanquanxingzhi,204,合同发票,,其他
1203,chanquanxingzhi,205,铁路,,集体
1204,chanquanxingzhi,206,经济适用房,,全民
1205,chanquanxingzhi,207,国有产权,,私有
1209,chanquanxingzhi,299,其他,,其他
1215,chaoxiang,400,南北,,南北
1225,chaoxiang,400,朝南北,,南北
1327,chaoxiang,400,北南,,南北
1216,chaoxiang,401,南,,南
1217,chaoxiang,402,东西,,东西
1328,chaoxiang,402,西东,,东西
1218,chaoxiang,403,东南,,东南
1329,chaoxiang,403,南东,,东南
1219,chaoxiang,404,东北,,东北
1330,chaoxiang,404,北东,,东北
1220,chaoxiang,405,西,,西
1221,chaoxiang,406,西北,,西北
1331,chaoxiang,406,北西,,西北
1222,chaoxiang,407,北,,北
1223,chaoxiang,408,东,,东
1224,chaoxiang,409,西南,,西南
1332,chaoxiang,409,南西,,西南
1353,fangwuxingzhi,1801,市场化商品房,,市场化商品房
1354,fangwuxingzhi,1802,动迁房,,动迁房
1355,fangwuxingzhi,1803,配套商品房,,配套商品房
1356,fangwuxingzhi,1804,公共租赁住房,,公共租赁住房
1357,fangwuxingzhi,1805,廉租住房,,廉租住房
1358,fangwuxingzhi,1806,限价普通商品住房,,限价普通商品住房
1359,fangwuxingzhi,1807,经济适用住房,,经济适用住房
1360,fangwuxingzhi,1808,定销商品房,,定销商品房
1361,fangwuxingzhi,1809,集资建房,,集资建房
1362,fangwuxingzhi,1810,其它,,其它
1226,jianzhujiegou,1000,砖混,,
1227,jianzhujiegou,1001,砖楼,,
1228,jianzhujiegou,1002,钢混,,
1341,jianzhuleibie,1701,别墅,,别墅
1342,jianzhuleibie,1702,平房,,平房
1343,jianzhuleibie,1703,板楼,,板楼
1344,jianzhuleibie,1704,塔楼,,塔楼
1345,jianzhuleibie,1705,板塔结合,,板塔结合
1367,jianzhuleibie,1705,塔板,,板塔结合
1346,jianzhuleibie,1706,独栋,,独栋别墅
1347,jianzhuleibie,1707,联排,,联排别墅
1348,jianzhuleibie,1708,叠拼,,叠拼别墅
1368,jianzhuleibie,1708,叠加,,叠拼别墅
1349,jianzhuleibie,1709,双拼,,双拼别墅
1350,jianzhuleibie,1710,四合院,,四合院
1351,jianzhuleibie,1711,洋房,,洋房
1352,jianzhuleibie,1712,未知,,未知
1369,jianzhuleibie,1712,其他,,未知
1229,jiaoyileixing,700,现金,,
1230,jiaoyileixing,701,商业贷款,,
1231,jiaoyileixing,702,公积金贷款,,
1232,jiaoyileixing,703,组合贷款,,
1333,shijiyongtu,1601,其他,,其他
1334,shijiyongtu,1602,车库,,车库
1335,shijiyongtu,1603,仓储用房,,仓储用房
1336,shijiyongtu,1604,工业用房,,工业用房
1337,shijiyongtu,1605,办公用房,,办公用房
1338,shijiyongtu,1606,商业住房,,商业住房
1339,shijiyongtu,1607,住宅,,住宅
1340,shijiyongtu,1608,综合,,综合
1316,shujulaiyuan,1501,sf,,
1317,shujulaiyuan,1502,58,,
1318,shujulaiyuan,1503,aj,,
1319,shujulaiyuan,1504,gj,,
1233,shujuzhiliangdengji,900,区/小区/建筑年份/所在层/总楼层/建筑面积/使用面积/价格,,
1234,shujuzhiliangdengji,901,朝向/户型/装修情况,,
1235,zaosheng,600,大,,
1236,zaosheng,601,中,,
1237,zaosheng,602,小,,
1238,zaosheng,603,无,,
1239,zhuangxiu,500,不详,,
1240,zhuangxiu,501,毛坯房,,毛坯
1250,zhuangxiu,501,毛坯,,毛坯
1251,zhuangxiu,501,无装修,,毛坯
1260,zhuangxiu,501,清水,,毛坯
1261,zhuangxiu,501,清水房,,毛坯
1241,zhuangxiu,502,简单装修,,简装
1248,zhuangxiu,502,简装,,简装
1249,zhuangxiu,502,普通装修,,简装
1252,zhuangxiu,502,中等装修,,简装
1253,zhuangxiu,502,老式装修,,简装
1254,zhuangxiu,502,简装修,,简装
1255,zhuangxiu,502,中装修,,精装
1256,zhuangxiu,502,一般,,简装
1257,zhuangxiu,502,中档,,精装
1258,zhuangxiu,502,中装,,精装
1259,zhuangxiu,502,粗装修,,简装
1262,zhuangxiu,502,老式装修,,简装
1242,zhuangxiu,503,精装修,,精装
1246,zhuangxiu,503,高级装修,,高档
1247,zhuangxiu,503,精装,,精装
1243,zhuangxiu,504,豪华装修,,高档
1244,zhuangxiu,504,豪华,,高档
1245,zhuangxiu,504,高档,,高档
1263,zhuzhaileixing,300,普通住宅,,成套住宅
1272,zhuzhaileixing,300,住宅,,成套住宅
1274,zhuzhaileixing,300,住宅,,成套住宅
1264,zhuzhaileixing,301,公寓,,高档公寓
1265,zhuzhaileixing,302,经济适用房,,成套住宅
1266,zhuzhaileixing,303,商住楼,,成套住宅
1273,zhuzhaileixing,303,商业,,
1267,zhuzhaileixing,304,别墅,,别墅
1268,zhuzhaileixing,305,平房/四合院,,非成套住宅
1269,zhuzhaileixing,305,平房,,非成套住宅
1270,zhuzhaileixing,306,四合院,,非成套住宅
1271,zhuzhaileixing,399,其他,,
1275,zujinfuguanfangshi,1100,押一付三,,
1276,zujinfuguanfangshi,1100,押一付三-租房贷,,
1277,zujinfuguanfangshi,1100,(押一付三),,
1278,zujinfuguanfangshi,1100,付3押1,,
1279,zujinfuguanfangshi,1110,押一付一,,
1280,zujinfuguanfangshi,1110,(押一付一),,
1281,zujinfuguanfangshi,1110,付1押1,,
1282,zujinfuguanfangshi,1120,押一付二,,
1283,zujinfuguanfangshi,1120,(押一付二),,
1284,zujinfuguanfangshi,1120,付2押1,,
1285,zujinfuguanfangshi,1130,押一付半年,,
1286,zujinfuguanfangshi,1130,半年付押1,,
1287,zujinfuguanfangshi,1130,(押一付半年),,
1288,zujinfuguanfangshi,1140,押一付年,,
1289,zujinfuguanfangshi,1140,(押一付年),,
1290,zujinfuguanfangshi,1140,年付押1,,
1291,zujinfuguanfangshi,1150,季付押一月租金,,
1292,zujinfuguanfangshi,1160,押二付一,,
1293,zujinfuguanfangshi,1160,(押二付一),,
1294,zujinfuguanfangshi,1160,付1押2,,
1295,zujinfuguanfangshi,1170,押二付二,,
1296,zujinfuguanfangshi,1170,付2押2,,
1297,zujinfuguanfangshi,1180,押二付三,,
1298,zujinfuguanfangshi,1180,(押二付三),,
1299,zujinfuguanfangshi,1190,押二付年,,
1300,zujinfuguanfangshi,1190,(押二付年),,
1301,zujinfuguanfangshi,1200,押三付一,,
1302,zujinfuguanfangshi,1210,押三付三,,
1303,zujinfuguanfangshi,1220,押三付年,,
1304,zujinfuguanfangshi,1220,(押三付年),,
1305,zujinfuguanfangshi,1230,月付,,
1306,zujinfuguanfangshi,1230,一月一付,,
1307,zujinfuguanfangshi,1240,季付,,
1308,zujinfuguanfangshi,1250,一季一付,,
1309,zujinfuguanfangshi,1260,半年付,,
1310,zujinfuguanfangshi,1260,半年一付,,
1311,zujinfuguanfangshi,1260,年付,,
1312,zujinfuguanfangshi,1270,年付不押,,
1313,zujinfuguanfangshi,1270,半年付不押,,
1314,zujinfuguanfangshi,1290,面议,,
1315,zujinfuguanfangshi,1291,不限,,
